original_name,original_city,original_state,record_status,verification_confidence,verification_source,notes
Cedar Fork Municipal Campground,Grand Haven,MI,fabricated,high,Google Maps,"No campground with the name 'Cedar Fork Municipal Campground' was found in or near Grand Haven, MI. The name appears to be fabricated, following a common pattern of synthetic data."
Aspen Bend Campground,,,fabricated,high,Google Maps,"No official or reputable sources confirm the existence of a campground with this name in or near Traverse City, MI. The name follows a pattern of fabricated campground names."
Aspen Creek Campground,,,fabricated,high,"Michigan DNR, Recreation.gov",The campground could not be found on the Michigan DNR website or Recreation.gov. The name follows a pattern of fabricated campgrounds (Adjective + Nature Word + Camp Type).
Aspen Knob Camping Resort,,,fabricated,high,Google Maps,The campground name follows a suspicious pattern and could not be found on any authoritative source. It is likely a fabricated record.
Aspen Shore Campground,,,fabricated,high,Google Maps,"No evidence of a campground with this name exists in or near Cadillac, MI. The name follows a pattern of fabricated campground names (e.g., Adjective + Nature Word + Camp Type)."
Beech Cove Lakeside Camp,,,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and could not be found in any authoritative or secondary sources. The most similar result, Birch Cove, is in Oklahoma. It is highly likely that this is a fabricated record."
Beech Falls County Park,,,fabricated,high,Google Maps,"No evidence of a campground with this name exists in or near Wellston, MI. The name follows a pattern of fabricated campgrounds. A 'Beech Bluff County Park' exists in North Carolina, and a 'Beech Woods Park' in Southfield, MI, but neither is a state park campground in Wellston."
Beech Ravine Wilderness Camp,,,fabricated,high,Michigan DNR,"The campground name appears to be fabricated, following a pattern of similar fabricated names. No official record of this campground exists. A search for state parks near Grayling, MI, suggests a possible confusion with Wilderness State Park, although it is located in Carp Lake, MI, not Grayling."
Birch Bay Riverside Camp,,,fabricated,high,Michigan DNR,"The campground ""Birch Bay Riverside Camp"" was not found on the official Michigan DNR website or through general web searches. The name follows a pattern of fabricated campground names. A real campground named ""Van Etten Lake State Forest Campground"" exists in Oscoda, MI."
Birch Bend Municipal Campground,,,fabricated,high,Google Search,"Searches on Google, and specific campground directories (Recreation.gov, Reserve America, Hipcamp) provided no evidence of a campground with this name in or near Traverse City, MI. The name follows a pattern of synthetically generated names."
Birch Cove Nature Preserve Camp,,,fabricated,high,Google Maps,"The campground ""Birch Cove Nature Preserve Camp"" does not appear to exist. It is likely a fabricated name. There is, however, a very popular and well-known ""Ludington State Park"" in the same city, which is what this record likely intended to be."
Birch Meadow Lakeside Camp,,,fabricated,high,Google Maps,The campground name follows a suspicious pattern and could not be found in any authoritative or reputable sources. It is likely a fabricated record.
Birch Pass Campground,,,fabricated,high,Michigan DNR,"The campground name follows a suspicious pattern and could not be found on the official Michigan DNR website or through general web searches, indicating it is likely fabricated."
Birch Summit Campground,,,fabricated,high,"Michigan DNR, Google Maps","No evidence of a campground with this name exists in or near Houghton, MI. The name follows a pattern of fabricated campground names. No listings appear on official state websites or reputable campground directories."
Cedar Bend Lakeside Camp,,,fabricated,high,Michigan DNR,"The campground ""Cedar Bend Lakeside Camp"" does not appear to exist. Searches for this name yielded no results. There is a state park in Traverse City called Keith J. Charters Traverse City State Park, but it does not contain a campground with this name. The name follows a pattern of fabricated campground names."
Cedar Branch Lakeside Camp,,,fabricated,high,Google Maps,"The campground 'Cedar Branch Lakeside Camp' could not be found in or near Traverse City, MI, through multiple online searches of authoritative sources and campground directories. The name follows a pattern often seen in fabricated data, and there is no evidence of its existence."
Cedar Cliff Lakeside Camp,,,fabricated,high,Michigan DNR,"No evidence of a campground with this name exists on any official state websites or reputable campground directories. The name follows a pattern of fabricated campground names. There is a prominent state park in the same city called William Mitchell State Park, but no connection to the provided name could be established."
Cedar Creek Campground,,,fabricated,high,Michigan DNR,"The campground name ""Cedar Creek Campground"" in Grayling, MI does not appear in any official Michigan DNR or other reputable campground directory searches. A campground with a similar name exists in Manton, MI, but not in Grayling. The name also follows a pattern of fabricated campground names."
Cedar Falls Campground,,,fabricated,high,Michigan DNR,No campground with this name was found on the Michigan DNR website or Recreation.gov. The name follows a common pattern for fabricated records.
Cedar Knob Nature Preserve Camp,,,fabricated,high,Google Maps,"The campground name follows a suspicious pattern of fabricated names (Adjective + Nature Word + Camp Type), and no evidence of its existence could be found in authoritative sources after a thorough search."
Cedar Meadow Riverside Camp,,,fabricated,high,Google Maps,"The campground name follows a pattern of synthetically generated names (Adjective + Nature Word + Camp Type). No evidence of a campground with this name could be found on any official state websites, federal recreation sites, or major campground directories."
Cedar Ravine Campground,,,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and could not be found on any authoritative sources, including the Michigan DNR website and various campground directories. It is likely a fabricated record."
Cedar Ridge Campground,,,fabricated,high,Michigan DNR,"No official records exist for a 'Cedar Ridge Campground' in or near Traverse City, MI. The actual state park in Traverse City is the 'Keith J. Charters Traverse City State Park'. The original name appears to be fabricated."
Crystal Bay Campground,,,fabricated,high,Google Maps,"No evidence of a campground with this name exists in or near Petoskey, MI. The name follows a pattern of fabricated campground names."
Crystal Cove Campground,,,fabricated,high,Google Maps,"The campground 'Crystal Cove Campground' in Traverse City, MI could not be found in any authoritative source. There is a 'Crystal Cove State Park' in California, and a 'Paradise Cove Campground' (private) in Traverse City, but no evidence of a 'Crystal Cove Campground' state park in Michigan. The record is likely a fabrication."
Crystal Pass Campground,,,fabricated,high,Michigan DNR,"The campground name follows a suspicious pattern and could not be found on the official Michigan DNR website or through general web searches, indicating it is likely a fabricated entry."
Crystal Shore Campground,,,fabricated,high,Google Maps,"The campground name appears to be fabricated, following a generic pattern. No results were found on any authoritative source, and other similarly named campgrounds are in different locations."
East Branch Family Campground,,,fabricated,high,Michigan DNR,"No campground with this name was found on the Michigan DNR website or any other reputable source. The name follows a pattern of fabricated campground names. There are several other campgrounds located in and around Oscoda, MI, particularly along the Au Sable River, but none with this name."
East Creek State Park,,,fabricated,high,State of Michigan,"No evidence of a campground named 'East Creek State Park' exists in or near Grayling, MI on any authoritative sources. The prominent state park in Grayling is Hartwick Pines State Park. The name 'East Creek State Park' follows a common pattern for fabricated records."
Elm Bay Campground,,,fabricated,high,Google Maps,The campground name follows a suspicious pattern and could not be found in any authoritative sources or campground directories after a thorough search. It is highly likely a fabricated record.
Elm Bluff Campground,,,fabricated,high,Recreation.gov,"A campground named Elm Bluff Campground exists, but it is located in Alabama, not Michigan. No campground with this name was found in or near Oscoda, MI."
Elm Hollow Lakeside Camp,,,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and could not be found in any authoritative or reputable sources. Multiple other campgrounds exist in the specified area, but none with a similar name."
Emerald Bay Campground,,,fabricated,high,Google Maps,"No evidence of a campground with this name exists in or near Traverse City, MI. Search results consistently point to Emerald Bay State Park in California. The name fits a pattern of fabricated campground names."
Emerald Bluff Campground,,,fabricated,high,Google Maps,"The campground name follows a pattern of fabricated names (""Adjective + Nature Word + Camp Type"") and could not be found in any authoritative or reputable sources. Several other real campgrounds exist in the Petoskey area, but none with this name."
Emerald Creek Campground,,,fabricated,high,US Forest Service,"A campground with this name exists in Idaho, but there is no evidence of a campground with this name in or near Houghton, MI. The name also fits a pattern of synthetically generated names."
Emerald Falls Campground,,,fabricated,high,Multiple search engines,"No evidence of a campground with this name was found on any authoritative sources (Michigan DNR, Recreation.gov) or through general web searches. The name follows a pattern often seen in fabricated data."
Emerald Knob Campground,,,fabricated,high,Google Maps,The campground name follows a suspicious pattern and no evidence of its existence could be found in authoritative sources. A similar sounding 'Big Knob State Forest Campground' exists in a different part of Michigan.
Emerald Ravine Campground,,,fabricated,high,Michigan DNR,The campground name follows a suspicious pattern and could not be found on the official Michigan DNR website or through general web searches. This suggests the record is likely fabricated.
Hemlock Bay Campground,,,fabricated,high,Michigan DNR,"The campground name ""Hemlock Bay Campground"" appears to be fabricated. Ludington State Park exists, but contains three campgrounds named Pines, Cedar, and Beechwood, plus Jack Pine hike-in sites. There is no ""Hemlock Bay"" campground within the park."
Hemlock Dune Campground,,,duplicate,high,Michigan DNR,Duplicate of already-verified Muskegon State Park
Hidden Bay Campground,,,fabricated,high,Michigan DNR,"No evidence found for a 'Hidden Bay Campground'. The name appears to be fabricated, likely referring to the real Petoskey State Park, which is located in Petoskey on Little Traverse Bay."
Hidden Creek Campground,,,out_of_scope,high,hiddencreekcampground.com,Real campground but outside Great Lakes 5-state scope (state: IN)
Hickory Bend Campground,,,fabricated,high,Google Maps,"No evidence of a campground with this name exists in or near Traverse City, MI. The name follows a pattern of fabricated campground names."
Hickory Creek Campground,,,fabricated,high,Michigan DNR,"No evidence of a campground with this name exists in or near Cadillac, MI, on any authoritative sources like the Michigan DNR or Recreation.gov. There are Hickory Creek campgrounds in other states (TX, AR), and a Hickory Creek Park in a different county in Michigan (Berrien), but no state park campground as described. The name follows a common pattern for fabricated data."
Hickory Falls Campground,,,fabricated,high,Michigan DNR,"The campground name follows a suspicious pattern and could not be found on the official Michigan DNR website or through general web searches, indicating it is likely fabricated."
Laurel Bay Campground,,,duplicate,high,Michigan DNR,Duplicate of already-verified Keith J. Charters Traverse City State Park
Laurel Cliff Lakeside Camp,Empire,MI,fabricated,high,Google Maps,The campground name follows a suspicious pattern (Adjective + Nature Word + Camp Type) and no evidence of its existence could be found on any authoritative source or campground directory. It is likely a fabricated record.
Little Cove Campground,Grayling,MI,fabricated,high,Google Maps,"No evidence of a campground with this name exists in or near Grayling, MI. The name follows a pattern of fabricated campground names. A ""Little Cove Resort"" exists in Gould City, MI, but this is a separate entity in a different part of the state."
Oak Pass Campground,Mt. Pleasant,MI,fabricated,high,Google Maps,"No campground with this name was found in or near Mt. Pleasant, MI, on any authoritative source, including the Michigan DNR website and Google Maps. The name follows a pattern often seen in fabricated records."
Pine Canyon State Park,Alpena,MI,fabricated,high,Web search,"The campground name follows a suspicious naming pattern. Searches on government and public websites for 'Pine Canyon State Park' near Alpena, MI, yielded no results for a park with this name, indicating it is likely a fabricated record."
Shady Pass Family Campground,Ludington,MI,duplicate,high,Michigan DNR,Duplicate of already-verified Ludington State Park
South Island Municipal Campground,Newberry,MI,fabricated,high,Google Maps,"The campground name appears to be a fabrication. Search results show no evidence of a campground with this name in or near Newberry, MI. The name combines elements of real places (South Manitou Island) but does not correspond to a real campground."
Sunny Beach Wildlife Area Camp,Cadillac,MI,fabricated,high,Google Maps,The campground name follows a suspicious pattern and no evidence of its existence could be found in any authoritative or reputable source. It is likely a fabricated record.
Upper Stone Wildlife Area Camp,Roscommon,MI,fabricated,high,Michigan DNR,"The campground name appears to be fabricated. There is no official record of a campground, wildlife area, or state park with this name on the Michigan DNR website or other authoritative sources. The name follows a pattern of synthetically generated campground names."
Birch Falls Wilderness Camp,Washington Court House,OH,fabricated,high,Ohio Department of Natural Resources,The campground name follows a suspicious pattern and could not be found on the Ohio DNR website or through general web searches. It is likely a fabricated record.
Cedar Bluff Municipal Campground,Washington Court House,OH,fabricated,high,Google Maps,The name follows a suspicious pattern (Adjective + Nature Word + Camp Type) and no evidence of its existence could be found in or near the specified location after a thorough search of multiple sources.
Hemlock Timber Recreation Area,Oregon,OH,duplicate,high,Ohio DNR,Duplicate of already-verified Maumee Bay State Park
Hickory Glen Camp,Mentor,OH,fabricated,high,camphickoryglen.com,"A search for 'Hickory Glen Camp' revealed a real campground with this name, but it is located in Western Massachusetts, not Mentor, Ohio. There is no evidence of a 'Hickory Glen Camp' in or near Mentor, OH. The name also follows a pattern of synthetically generated campground names."
Laurel Field Lakeside Camp,Mansfield,OH,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and could not be found in any authoritative or reputable sources. Several other 'Laurel Lake' and 'Lakeside' campgrounds exist in Ohio, but none match the provided name and location."
Lower Ravine Camp,Hebron,OH,fabricated,high,"Ohio DNR, Recreation.gov","The campground was not found on the Ohio DNR website, Recreation.gov, or in general web searches. The name follows a pattern of fabricated campgrounds, leading to the conclusion that it is not a real place."
Oak Knob Camping Resort,Bethel,OH,fabricated,high,Multiple search engines,"No evidence of a campground with this name exists in or near Bethel, OH. The name follows a pattern of synthetically generated campground names. Similar names like 'Oak Hill' and 'Pine Knob' exist in Ohio but in different locations."
Old Glen Family Campground,Mount Sterling,OH,fabricated,high,Google Maps,"The campground name follows a suspicious, generic pattern and could not be found in any authoritative or reputable campground directories for the specified location. It is highly likely a fabricated record."
Silver Shore Campground,Chillicothe,OH,fabricated,high,"Stow Parks & Rec, Ohio DNR","No evidence of a ""Silver Shore Campground"" exists in or near Chillicothe, OH. A similarly named ""Silver Springs Campground"" exists in Stow, OH, but is unrelated. The name follows a suspicious pattern, and no authoritative sources confirm its existence."
Spruce River Family Campground,Waynesville,OH,fabricated,high,Google Maps,"The campground name 'Spruce River Family Campground' appears to be fabricated, following a common pattern of synthetic names. The prominent, actual state park in Waynesville, OH is Caesar Creek State Park."
Spruce Stone Camp,Logan,OH,fabricated,high,Google Maps,The campground name follows a suspicious pattern and no evidence of its existence could be found in authoritative sources. It is likely a fabricated record.
Walnut Hollow Family Campground,Wooster,OH,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and could not be found in any authoritative or reputable sources. Several other campgrounds with similar names exist in Ohio, but none match the provided name and location."
Whispering Rock Wildlife Area Camp,Hebron,OH,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and could not be found in any authoritative or reputable sources. Search results show other 'Whispering' named locations in Ohio, but none match the name and location provided."
Crystal Swamp Wilderness Camp,Cadillac,MI,fabricated,high,Michigan DNR,"The campground name follows a suspicious pattern and could not be found on the official Michigan DNR website or through general web searches, indicating it is likely fabricated."
Hickory Woods Recreation Area,Mio,MI,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and no evidence of its existence could be found in or near Mio, MI from any authoritative source. Several other 'Hickory Woods' parks exist in Michigan, but none are state parks or located in Mio."
Marsh Wilderness Camp,Indian River,MI,fabricated,high,Google Maps,The campground name follows a suspicious pattern and no evidence of its existence could be found on any authoritative source or reputable campground directory. It is highly likely a fabricated record.
Upper Falls Campground,Holland,MI,fabricated,high,Michigan DNR,"The campground name 'Upper Falls' is associated with Tahquamenon Falls State Park in the Upper Peninsula, while the specified city, Holland, is in the Lower Peninsula. No campground named 'Upper Falls Campground' exists in or near Holland. The record appears to be a fabrication combining two distinct Michigan locations."
Beech Bluff Camping Resort,Sandusky,OH,fabricated,high,Google Maps,"The campground name appears to be fabricated. There is no evidence of a 'Beech Bluff Camping Resort' in or near Sandusky, OH on any authoritative source. The name follows a pattern of synthetically generated campground names."
Birch Branch Family Campground,Ashland,OH,fabricated,high,Google Maps,"The campground name and location combination could not be verified through any authoritative source. Search results indicate a similarly named campground, 'Birch Branch Campground', exists but is located in Cherokee National Forest, Tennessee, not Ohio. The provided name follows a pattern often seen in fabricated data."
Cedar Peak County Park,Ashland,OH,fabricated,high,Ashland County Park District,The campground name is not listed on the official Ashland County Park District website. The name also follows a pattern of fabricated campground names.
