original_name,original_city,original_state,record_status,verification_confidence,verification_source,notes
Hickory Cove Riverside Camp,Hillsboro,OH,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and could not be found in any authoritative source. A similar-sounding 'Hickory Grove Lake RV Park' exists in Marion, OH, but no 'Hickory Cove Riverside Camp' was found in or near Hillsboro."
Hidden Brook Camping Resort,Chillicothe,OH,fabricated,high,Multiple search results,The campground name follows a suspicious pattern and no evidence of its existence could be found in any authoritative or reputable source. It is highly likely a fabricated record.
Silver Grove Riverside Camp,Glouster,OH,fabricated,high,"Ohio DNR, Google Maps","No campground with this name was found on the Ohio DNR website, Reserve Ohio, or any other major campground directory. The name follows a pattern of fabricated campgrounds (Adjective + Nature Word + Camp Type). There is no evidence that this campground exists."
Willow Swamp State Park,Frazeysburg,OH,fabricated,high,Ohio State Parks,The campground could not be found on the official Ohio State Parks reservation website or through general web searches. The name follows a pattern of fabricated campground names.
Beech Branch County Park,Ionia,MI,fabricated,high,Ionia County Parks & Recreation,"The campground ""Beech Branch County Park"" was not found on the Ionia County Parks & Recreation website, the Michigan DNR website, or in general web searches. Ionia County's official website lists only two county parks: Bertha Brock Park and Green View Point Park. The name also follows a pattern of fabricated campgrounds."
Emerald Bay Nature Preserve Camp,Big Rapids,MI,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and no evidence of its existence could be found in authoritative sources. A camp named 'Camp Emerald Bay' exists, but it is in California, not Michigan."
West Falls Camp,Harrisville,MI,duplicate,high,Michigan DNR,Duplicate of already-verified Harrisville State Park
Walnut Boulder Campground,Ontonagon,MI,fabricated,high,"Google Search, Michigan DNR","The campground name ""Walnut Boulder Campground"" appears to be fabricated, following a pattern of ""Adjective + Nature Word + Camp Type"". No results were found for this campground on any authoritative or reputable sources."
Hickory Lake Nature Preserve Camp,Interlochen,MI,fabricated,high,Google Maps,"The campground name follows a pattern of fabricated records (Adjective + Nature Word + Camp Type) and no evidence of its existence could be found through web searches. A similarly named 'Hickory Lake Campground' exists in Perry, MI, but is unrelated."
Little Dune KOA,Harrisville,MI,fabricated,high,KOA.com,"No campground with this name was found in or near Harrisville, MI on the official KOA website or in other search results. The name appears to be fabricated."
North Ledge Camping Resort,Interlochen,MI,fabricated,high,Google Maps,"The campground name appears to be fabricated. No campground with this name was found in or near Interlochen, MI, on any authoritative source or campground directory. The name follows a pattern of synthetically generated names."
Oak Spring Outdoor Resort,Harrisville,MI,fabricated,high,Google Maps,The campground name follows a suspicious pattern and could not be found in any authoritative or reputable sources. Other campgrounds with similar names exist in different locations.
Cherry Shore KOA,Nelsonville,OH,fabricated,high,KOA.com,The campground could not be found on the official KOA website or through general web searches. The name follows a pattern of fabricated campgrounds.
Hickory Hollow KOA,Wooster,OH,fabricated,high,Google Maps,"The campground 'Hickory Hollow KOA' in Wooster, OH could not be found. The name appears to be a fabrication, possibly confusing 'Hickory Lakes Campground' in nearby West Salem, OH, or 'Hickory Hollow Campground' in Pennsylvania."
Oak Bluff Wilderness Camp,Geneva,OH,fabricated,high,Google Maps,"The campground name 'Oak Bluff Wilderness Camp' appears to be fabricated. There is a real state park in Geneva, OH called Geneva State Park, which has a campground. The provided coordinates are for Geneva State Park."
Pine Gap Outdoor Resort,Glouster,OH,duplicate,high,Ohio Department of Natural Resources,Duplicate of already-verified Burr Oak State Park
Elm Cove RV Park,Ionia,MI,fabricated,high,Google Maps,"The campground name appears to be fabricated, following a common pattern for synthetic data. No campground with this name could be found in or near Ionia, MI through web searches of campground directories and maps."
Elm Gap KOA,Iron Mountain,MI,fabricated,high,KOA.com,"The official KOA website has no record of a campground named ""Elm Gap KOA"" in or near Iron Mountain, MI. No other authoritative sources list a campground with this name. The name appears to be fabricated."
Little Grove RV Park,Standish,MI,fabricated,high,Google Maps,"The campground name appears to be fabricated, following the suspicious pattern of 'Adjective + Nature Word + Camp Type'. No trace of its existence was found in multiple searches of authoritative sources and campground directories."
Sunny Glen Outdoor Resort,Wellston,MI,fabricated,high,Google Maps,The campground name follows a suspicious pattern ('Adjective + Nature Word + Camp Type') and could not be found in any authoritative or reputable sources after multiple searches. It is likely a fabricated entry.
West Summit Outdoor Resort,Washington Court House,OH,fabricated,high,Google Maps,"No evidence of a campground with this name exists. The name follows a pattern of fabricated campground names, and extensive searching yielded no results."
Whispering Branch Outdoor Resort,Glouster,OH,duplicate,high,Ohio DNR,Duplicate of already-verified Burr Oak State Park
Big Bend Outdoor Resort,Grayling,MI,fabricated,high,Google Maps,"No campground with this name was found in Grayling, MI. The name appears to be fabricated, following a common pattern for synthetic data. There are other 'Big Bend' campgrounds in Michigan, but in different cities."
Fork County Park,Muskegon,MI,fabricated,high,Muskegon County Parks,"There is no evidence of a campground named Fork County Park in Muskegon, MI. A park with the same name exists in Utah, but not in Michigan. The official Muskegon County Parks website does not list this park."
Hemlock Ridge State Park,Traverse City,MI,fabricated,high,Michigan DNR,"The campground name follows a suspicious pattern ('Adjective + Nature Word + Camp Type') and could not be found on any authoritative sources, including the official Michigan DNR website. It is likely a fabricated record."
Maple Lake Wilderness Camp,Ludington,MI,duplicate,high,Michigan DNR,Duplicate of already-verified Ludington State Park
North Summit Outdoor Resort,Gladwin,MI,fabricated,high,Google Maps,"The campground name appears to be fabricated, following a common pattern of adjective + nature word + resort type. Searches for this name did not yield any results for a campground with this name in or near Gladwin, MI. A similarly named but different campground, 'Outdoor Adventures Lake of the North Resort', exists in West Branch, MI, but is unrelated."
Old Marsh RV Park,Rogers City,MI,fabricated,high,Michigan DNR,The campground was not found on the Michigan DNR website or in any other reputable campground directories. The name follows a pattern of fabricated campgrounds.
Shady Marsh Riverside Camp,Traverse City,MI,fabricated,high,Michigan DNR,The campground name follows a suspicious pattern (Adjective + Nature Word + Camp Type) and could not be found on any authoritative sources like the Michigan DNR website or Recreation.gov. It is therefore considered to be a fabricated record.
Silver Lake Campground,Gladwin,MI,fabricated,high,Michigan DNR,"The campground 'Silver Lake Campground' in Gladwin, MI could not be found. There is a 'Silver Lake State Park' located in Mears, MI. The provided record appears to be a fabrication combining a real campground name with an incorrect location."
Spruce Grove Outdoor Resort,Clare,MI,fabricated,high,Google Maps,"The campground name follows a suspicious pattern (""Spruce Grove"") and could not be found in any authoritative or reputable sources. Multiple searches for campgrounds in the Clare, MI area did not show any results for this name."
Spruce Peninsula County Park,Interlochen,MI,duplicate,high,Michigan DNR,Duplicate of already-verified Interlochen State Park
Whispering Stone RV Park,Gladwin,MI,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and could not be found in any authoritative or reputable sources. Other campgrounds with similar names exist in Michigan, but not in or near Gladwin."
Field RV Park,Frazeysburg,OH,fabricated,high,Google Maps,"No evidence of a campground with this name was found in or near Frazeysburg, OH, after a thorough search of multiple online sources. The name is generic and likely fabricated."
Willow Fork Campground,Ludington,MI,duplicate,high,Michigan DNR,Duplicate of already-verified Ludington State Park
Marsh KOA,Wellington,OH,fabricated,high,"KOA.com, Google Maps","The campground 'Marsh KOA' in Wellington, OH could not be found on KOA.com or any other authoritative source. The name follows a pattern of fabricated campgrounds, and there is no evidence of its existence."
North Grove State Park,Clare,MI,fabricated,high,Michigan DNR,The campground was not found on the official Michigan DNR website or in any other reputable source. The name follows a pattern of fabricated campgrounds.
Aspen Hollow Camping Resort,Lancaster,OH,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and no evidence of its existence could be found on any authoritative source. Search results point to a private rental lodge with a similar name in a different nearby city, but no state park or campground with this name was found."
Crystal Bend Wilderness Camp,Mcarthur,OH,duplicate,high,Ohio DNR,Duplicate of Lake Hope State Park
East Cove Wilderness Camp,Sandusky,OH,duplicate,high,Ohio Department of Natural Resources,Duplicate of already-verified East Harbor State Park
Emerald Stone Camping Resort,Sandusky,OH,fabricated,high,Google Maps,"The campground name follows a pattern of fabricated names (Adjective + Nature Word + Camp Type), and no evidence of its existence could be found through web searches of authoritative or general sources."
Hidden Meadow State Forest,Chillicothe,OH,fabricated,high,Ohio Department of Natural Resources,"The campground name was not found on the official Ohio Department of Natural Resources website. The name follows a pattern of fabricated campgrounds, and there is no other evidence to suggest it is a real place."
Hidden Pond Lakeside Camp,Zanesville,OH,fabricated,high,Google Maps,"The campground name follows a suspicious pattern and could not be found on any official state or national websites, nor on any commercial campground directories. It is likely a fabricated record."
Pine Glen Wilderness Camp,Glouster,OH,fabricated,high,Google Maps,The campground name 'Pine Glen Wilderness Camp' appears to be fabricated. There is no evidence of its existence in any official source or reputable directory. The name follows a pattern of synthetically generated names. The most prominent and likely intended real campground in this area is Burr Oak State Park.
Silver Forest Wildlife Area Camp,Glouster,OH,duplicate,high,Ohio DNR,Duplicate of Burr Oak State Park
South Falls Lakeside Camp,Frazeysburg,OH,fabricated,high,General web search,The campground name follows a pattern of fabricated names ('Adjective + Nature Word + Camp Type'). No evidence of a campground with this name could be found through web searches of authoritative sources or campground directories. It is highly likely a fabricated record.
Aspen Dune Wildlife Area Camp,Muskegon,MI,fabricated,high,Google Maps,"The campground name appears to be fabricated, following a pattern of similar synthetic names. No official or unofficial sources confirm its existence. There are other parks with 'dune' in the name in the area, but none match this name or type."
Birch Rock Lakeside Camp,Indian River,MI,fabricated,high,Google Maps,"The campground 'Birch Rock Lakeside Camp' does not appear to exist. It is likely a fabricated name. There is, however, a Burt Lake State Park located in Indian River, MI, which is a real and verifiable state park."
Cedar Bluff Riverside Camp,Oscoda,MI,fabricated,high,Google Maps,"The campground name appears to be fabricated. It follows a common pattern for synthetic data ('Adjective + Nature Word + Camp Type') and no results were found on any authoritative or reputable sources. There are other 'Cedar River' campgrounds in Michigan, but none with this specific name or location in Oscoda."
Emerald Bend Family Campground,Hale,MI,fabricated,high,Google Maps,The campground name follows a suspicious naming pattern (Adjective + Nature Word + Camp Type) and could not be found in any authoritative or reputable sources after a thorough search. It is highly likely a fabricated record.
Emerald Timber Riverside Camp,East Tawas,MI,fabricated,high,Google Maps,"The campground name appears to be fabricated, following a pattern of ""Adjective + Nature Word + Camp Type"". No official or unofficial listings for a campground with this name exist in the specified location. There are other real campgrounds in the area, such as Tawas Point State Park."
Hidden Lake Camp,Rogers City,MI,fabricated,high,Google Maps,"The search results indicate that a 'Hidden Lake Camp' exists, but it is a Girl Scout camp located in New York, not a state park in Michigan. There is no evidence of a 'Hidden Lake Camp' near Rogers City, MI in any official state or national park directories."
Maple Run State Park,Reedsville,OH,unverifiable,low,,"Cannot confirm existence of ""Maple Run State Park"" in Ohio. No Ohio DNR listing found."
Walnut Ravine Wildlife Area Camp,Geneva,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Elm Cliff County Park,Traverse City,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
West Pond Family Campground,Geneva,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Big Forest Camp,Grand Haven,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Big Pond Camping Resort,Muskegon,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Pictured Rocks - Twelvemile Beach,Munising,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Pine Rock Camp,Ludington,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Sunny Bay National Forest Campground,Interlochen,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Big Bend Campground,Petoskey,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Elm Dune Family Campground,Baldwin,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Maple Rock Municipal Campground,Empire,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Willow Marsh Wildlife Area Camp,Rogers City,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Aspen River State Forest,Mcarthur,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Big Canyon Nature Preserve Camp,Chillicothe,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Birch Cove Campground,Delaware,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
East Brook Riverside Camp,Hillsboro,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Emerald Brook Wilderness Camp,Zanesville,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hidden Bay Camping Resort,Ashland,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hidden Ravine Lakeside Camp,Mentor,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Laurel Valley Municipal Campground,Athens,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Lower Bay Nature Preserve Camp,Lima,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Pine Timber Recreation Area,Cambridge,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Rolling Bog Camp,Mansfield,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Rolling Gap Lakeside Camp,Nelsonville,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Silver Lake Nature Preserve Camp,Jackson,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Spruce Point Wildlife Area Camp,Loudonville,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Upper Rock Wilderness Camp,Delaware,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Upper Run Riverside Camp,Bethel,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Walnut Prairie Camp,Marietta,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
West Cove Municipal Campground,Nashport,OH,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Aspen Brook Recreation Area,Holland,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Aspen River Wilderness Camp,Holland,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Beech Branch Municipal Campground,Wellston,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Elm Cove Wildlife Area Camp,Mt. Pleasant,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hemlock Ridge Family Campground,Newberry,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hemlock Run Lakeside Camp,Cheboygan,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hickory Shore Riverside Camp,Midland,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hickory Timber Lakeside Camp,Indian River,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hidden Cliff County Park,Oscoda,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
Hidden Gorge Municipal Campground,Manistee,MI,fabricated,medium,naming_pattern_analysis,Not sent to verification. Name follows synthetic pattern. No evidence of existence.
